"dt_partition","time_frame","dataset_name","X","N","rmse_flex_model","rmse_constraint_model","rmse_tailored_flex_lm","rmse_tailored_constr_lm"
"monthly","2014-11","salesforce",14,1089,0.279035743037272,0.0406094671008623,0.0202163413808112,0.0236585506589472
"monthly","2014-11","salesforce",15,1089,0.290342658384221,0.0415513376441484,0.0202700451602286,0.0241138375147893
"monthly","2014-11","salesforce",16,1089,0.301010703856094,0.0422174712115804,0.0203094792448715,0.0242876470368822
"monthly","2014-11","salesforce",17,1089,0.310961127201673,0.0426151221879459,0.0205756263423617,0.0241917291696614
"monthly","2014-11","salesforce",18,1089,0.3207556022071,0.0430668199981135,0.0206239916170526,0.0242692613399497
"monthly","2014-11","salesforce",19,1089,0.330411032842107,0.043569344683407,0.0205186712865584,0.0244947695770457
"monthly","2014-11","salesforce",20,1089,0.339710063343039,0.0439741309045205,0.0203879337683359,0.0246559692772922
"monthly","2014-11","salesforce",21,1089,0.348794079704269,0.0443559241980214,0.0201303012601347,0.0248344150729166
"monthly","2014-11","salesforce",22,1089,0.357632605199861,0.0446449294526985,0.0196689876905159,0.0250039240884912
"monthly","2014-11","salesforce",23,1089,0.365996220121235,0.0448197172775442,0.0195271172941899,0.0250329859354672
"monthly","2014-11","salesforce",24,1089,0.374154446649308,0.044951097722975,0.0192746648061294,0.0250805820051748
"monthly","2014-11","salesforce",25,1089,0.382094143816285,0.045061623276188,0.0190210403042567,0.0251157873195652
"monthly","2014-11","salesforce",26,1089,0.38987690254396,0.0451873629188268,0.0187621739530446,0.0252152818014911
"monthly","2014-11","salesforce",27,1089,0.397530739595787,0.0453147008140076,0.018385205347467,0.0253339990584805
"monthly","2014-11","salesforce",28,1089,0.404960740345773,0.0454112321915195,0.0180669317586966,0.0254522855907778
"monthly","2014-11","salesforce",29,1089,0.412109243383642,0.0454638811450183,0.0179425729666229,0.0255223604726245
"monthly","2014-11","salesforce",30,1089,0.418960686728294,0.0453624891452151,0.0177296709389253,0.0253914350067258
"monthly","2014-11","salesforce",31,1089,0.425449081982082,0.0451007849831157,0.0176404306561386,0.0251190693722078
"monthly","2014-11","salesforce",32,1089,0.431743140478959,0.0448257151318418,0.0176430188744392,0.0248563862151738
"monthly","2014-11","salesforce",33,1089,0.437992833588819,0.0445930181178296,0.0175436836679867,0.0246698860743401
"monthly","2014-11","salesforce",34,1089,0.444122796687815,0.0443558235578371,0.0174183182906458,0.0244955310772427
"monthly","2014-11","salesforce",35,1089,0.450131663174311,0.0441360926150534,0.0173446101063856,0.0243808499428004
"monthly","2014-11","salesforce",36,1089,0.456003253005676,0.0438928722033846,0.017250607504026,0.0242573867615999
"monthly","2014-11","salesforce",37,1089,0.461697541122875,0.0435949211525742,0.017148633054403,0.0240925448054981
"monthly","2014-11","salesforce",38,1089,0.467312843305132,0.0433363736813458,0.0170787708125379,0.0239609780141684
"monthly","2014-11","salesforce",39,1089,0.472789318698327,0.0430492280182386,0.0170018528077946,0.0238176823033981
"monthly","2014-11","salesforce",40,1089,0.478157577778405,0.0427676605014885,0.0169475540150765,0.0236802878984406
"monthly","2014-11","salesforce",41,1089,0.483463568979285,0.0425150802016676,0.0168907969344226,0.0236032210405403
"monthly","2014-11","salesforce",42,1089,0.488621942774601,0.0422224825568287,0.0168394150386211,0.0235015272343854
"monthly","2014-11","salesforce",43,1089,0.493675469622688,0.0419324130025216,0.0168090011776367,0.0234105846123188
"monthly","2014-11","salesforce",44,1089,0.498688560032737,0.0416545547116971,0.0166798090288211,0.0233315497424685
"monthly","2014-11","salesforce",45,1089,0.503611954640587,0.0413985186958015,0.0166083199650812,0.0232640115305479
"monthly","2014-11","salesforce",46,1089,0.50839923519592,0.0411157554240924,0.0165777232961535,0.0232002882699539
"monthly","2014-11","salesforce",47,1089,0.513045677976319,0.0407766882863636,0.0165217744484096,0.0230982894313199
"monthly","2014-11","salesforce",48,1089,0.517624580947697,0.0404553634716032,0.0164630083499305,0.0230052205917647
"monthly","2014-11","salesforce",49,1089,0.522143716858818,0.040130734610275,0.016334236765067,0.0229130170738692
"monthly","2014-11","salesforce",50,1089,0.526624355603887,0.0398251567788868,0.0161562015481348,0.0228462050383545
"monthly","2014-12","salesforce",2,1071,0.0818679905681939,0.0120693236013524,0.0145969265788755,0.00942509334152934
"monthly","2014-12","salesforce",3,1071,0.102210939443976,0.0164987146987735,0.0180413196657673,0.0114038021160247
"monthly","2014-12","salesforce",4,1071,0.125682781171313,0.0221783111873866,0.0192072731986625,0.0151535151272139
"monthly","2014-12","salesforce",5,1071,0.1461087435742,0.0255227388924228,0.0196880112627608,0.0168261148142066
"monthly","2014-12","salesforce",6,1071,0.164775762683549,0.0284139646804627,0.0206814109258287,0.0182435726708247
"monthly","2014-12","salesforce",7,1071,0.183304080412396,0.0317437202445759,0.0210981250636008,0.020387593479451
"monthly","2014-12","salesforce",8,1071,0.199760531559025,0.0342553477462221,0.0220505223464815,0.0218624409533278
"monthly","2014-12","salesforce",9,1071,0.214898207834756,0.0360799854347484,0.0225892357378742,0.0227170642150273
"monthly","2014-12","salesforce",10,1071,0.229243921832728,0.0376973614250449,0.0228750579677237,0.0235119218560206
"monthly","2014-12","salesforce",11,1071,0.242774296320338,0.0390018798519109,0.0229315594391661,0.024120942953626
"monthly","2014-12","salesforce",12,1071,0.25568070971707,0.0400127407600111,0.0224595012308115,0.0245087879990003
"monthly","2014-12","salesforce",13,1071,0.267823192418332,0.0408233491105301,0.0221448845935821,0.0247871245078679
"monthly","2014-12","salesforce",14,1071,0.279494948793539,0.0415395795012835,0.0217372419812483,0.0250698600410755
"monthly","2014-12","salesforce",15,1071,0.290722597181719,0.0422098335089495,0.0213143888985014,0.0253355222674816
"monthly","2014-12","salesforce",16,1071,0.301322997903803,0.042700392196025,0.021114886614104,0.0254918961297021
"monthly","2014-12","salesforce",17,1071,0.311480395565044,0.0432172717545622,0.0212819312313186,0.0257536546067703
"monthly","2014-12","salesforce",18,1071,0.321302390589395,0.0435856698518868,0.0211148335671661,0.0258900349950206
"monthly","2014-12","salesforce",19,1071,0.330650395450359,0.0438372114742188,0.0210972789031074,0.0259527099983386
"monthly","2014-12","salesforce",20,1071,0.339650929840049,0.0439847828317356,0.0210017220834663,0.0259488354415623
"monthly","2014-12","salesforce",21,1071,0.348421510879113,0.0441069264009489,0.0207971150867532,0.0259391976930633
"monthly","2014-12","salesforce",22,1071,0.356936132784541,0.0442012258300819,0.0205987169740927,0.0259415942449075
"monthly","2014-12","salesforce",23,1071,0.365195691081,0.0442145166567479,0.0202664619997055,0.0259479923045358
"monthly","2014-12","salesforce",24,1071,0.373246416991418,0.0441975784265584,0.0198505473877979,0.0259328724067285
"monthly","2014-12","salesforce",25,1071,0.380980022727986,0.0441066775805977,0.0195400594382555,0.0258612360912812
"monthly","2014-12","salesforce",26,1071,0.388480777906449,0.0439572000930116,0.0191928825428646,0.025733508757889
"monthly","2014-12","salesforce",27,1071,0.395794682350032,0.0437692510665089,0.0187607779103153,0.0255630951900497
"monthly","2014-12","salesforce",28,1071,0.40281491200521,0.04354979487585,0.0185785782361107,0.0253754665341449
"monthly","2014-12","salesforce",29,1071,0.409752061487311,0.0433708571232299,0.0183224623825144,0.0252583916551102
"monthly","2014-12","salesforce",30,1071,0.416401048302607,0.043086855576752,0.018119546631626,0.0250376453318081
"monthly","2014-12","salesforce",31,1071,0.42281948659247,0.0427135074563856,0.0178757863980673,0.0247476925726692
"monthly","2014-12","salesforce",32,1071,0.429150079520167,0.0423803560311893,0.017622823892002,0.0245469482528301
"monthly","2014-12","salesforce",33,1071,0.435255834948721,0.0419743706569216,0.0174033338545552,0.0242681157746316
"monthly","2014-12","salesforce",34,1071,0.441213838893214,0.0415402059179256,0.0171549049080399,0.0239715846356563
"monthly","2014-12","salesforce",35,1071,0.447100507953397,0.0411540452886005,0.0169173765377603,0.0237321304969914
"monthly","2014-12","salesforce",36,1071,0.452877453484671,0.0407745157235826,0.0166752192509098,0.0235077665358264
"monthly","2014-12","salesforce",37,1071,0.458511236237963,0.0403655721331712,0.016423342143836,0.0232521364805266
"monthly","2014-12","salesforce",38,1071,0.464007793005351,0.0399325805283259,0.0161876353294937,0.0230012661750985
"monthly","2014-12","salesforce",39,1071,0.469308377601635,0.0394718095101752,0.0160883236275139,0.0227124850875992
"monthly","2014-12","salesforce",40,1071,0.474482312560816,0.0390112870968656,0.0160337468520914,0.0224374960262842
"monthly","2014-12","salesforce",41,1071,0.479573114967081,0.0385684948689395,0.0159764157704118,0.0221863227086463
"monthly","2014-12","salesforce",42,1071,0.484597286451234,0.0381721509976919,0.0159662996766589,0.0220052873011597
"monthly","2014-12","salesforce",43,1071,0.489560653285734,0.0378056863699846,0.0159431081440828,0.0218437374465049
"monthly","2014-12","salesforce",44,1071,0.49448183972823,0.0374634651696628,0.0158604552031487,0.0217144596702523
"monthly","2014-12","salesforce",45,1071,0.499334293646507,0.0371353570518584,0.0157564606939074,0.0215846223374002
"monthly","2014-12","salesforce",46,1071,0.504034246075513,0.0367630614721625,0.0156828845858221,0.0214513574796715
"monthly","2014-12","salesforce",47,1071,0.508674651695841,0.0364048118460128,0.0155817624376528,0.0213333996196321
"monthly","2014-12","salesforce",48,1071,0.513257221042058,0.0360852021944029,0.0155215743961263,0.0212588261024635
"monthly","2014-12","salesforce",49,1071,0.517736838099166,0.0357449657973577,0.0154484635330079,0.021156510699678
"monthly","2014-12","salesforce",50,1071,0.522104072791237,0.0353777278152983,0.0153688239232313,0.0210279419416501
"monthly","2014-1-","salesforce",2,924,0.0900524378005634,0.0235928871975346,0.0197793480048589,0.0129932385991994
"monthly","2014-1-","salesforce",3,924,0.116119983512385,0.0320767344053876,0.0221458574640993,0.0168858557097367
"monthly","2014-1-","salesforce",4,924,0.138950402539625,0.0372323656809451,0.0233921916021187,0.0183054624129265
"monthly","2014-1-","salesforce",5,924,0.160681342128858,0.0421395463678684,0.0247173930520387,0.0203769137457368
"monthly","2014-1-","salesforce",6,924,0.18009330471829,0.0458940506346906,0.0258548438393431,0.0214624405072345
"monthly","2014-1-","salesforce",7,924,0.198183813370089,0.0491052470634383,0.0264235026085243,0.0224509013113515
"monthly","2014-1-","salesforce",8,924,0.215643085001293,0.0523818946396684,0.0269021483987266,0.0239025171346515
"monthly","2014-1-","salesforce",9,924,0.232058298619521,0.0552022275674373,0.0268318673718252,0.0251421335692445
"monthly","2014-1-","salesforce",10,924,0.246938510025352,0.0574096992855852,0.0272016903330479,0.025869907732007
"monthly","2014-1-","salesforce",11,924,0.261452347437132,0.059745265514212,0.0275709875968463,0.0270582282411664
"monthly","2014-1-","salesforce",12,924,0.275435532685236,0.0619540074800065,0.0278021464348309,0.0284302178889226
"monthly","2014-1-","salesforce",13,924,0.288438766593301,0.0636425724876923,0.0277826748611405,0.0293813897768589
"monthly","2014-1-","salesforce",14,924,0.300812056515625,0.0652631842600844,0.0280714225197514,0.0303016497184791
"monthly","2014-1-","salesforce",15,924,0.312385425308968,0.0666734561592443,0.0287630890311727,0.0310300379687722
"monthly","2014-1-","salesforce",16,924,0.323597115940829,0.0679595356190911,0.0291996946801474,0.0318053115093811
"monthly","2014-1-","salesforce",17,924,0.334430381927517,0.0690882471427245,0.0293132849759205,0.0324566605295886
"monthly","2014-1-","salesforce",18,924,0.344795794883517,0.0699717180438459,0.029157057360601,0.0329358671539266
"monthly","2014-1-","salesforce",19,924,0.354889324631462,0.0707564246992928,0.0287218702199124,0.0333712278481991
"monthly","2014-1-","salesforce",20,924,0.36439455424797,0.0713742312738453,0.0286400320983506,0.0336987526369584
"monthly","2014-1-","salesforce",21,924,0.373596826857642,0.0718920135106227,0.0284399449535178,0.03396947905407
"monthly","2014-1-","salesforce",22,924,0.382605054501434,0.072365841336511,0.0280811803253426,0.0342709100151195
"monthly","2014-1-","salesforce",23,924,0.391322296927002,0.0727587615453426,0.0277071344932864,0.0345539620641015
"monthly","2014-1-","salesforce",24,924,0.399702423998231,0.0730229972298024,0.0272859512049273,0.0347332193392262
"monthly","2014-1-","salesforce",25,924,0.407676494261666,0.0731397439045477,0.0269902097579613,0.034821958572128
"monthly","2014-1-","salesforce",26,924,0.415318821115799,0.0731958339897227,0.0268838951608273,0.0348731806765374
"monthly","2014-1-","salesforce",27,924,0.422691455275546,0.073189375060005,0.0268649301040091,0.0349021675418394
"monthly","2014-1-","salesforce",28,924,0.429898376409849,0.0731150076501147,0.026646859072983,0.0348746297088647
"monthly","2014-1-","salesforce",29,924,0.436840618294178,0.072940044957819,0.0263883582285206,0.0347526426246762
"monthly","2014-1-","salesforce",30,924,0.443639079250135,0.0727307071136072,0.0260198955155696,0.0346127329502015
"monthly","2014-1-","salesforce",31,924,0.450160531992885,0.0723883226419136,0.0256043719830999,0.0343778596757817
"monthly","2014-1-","salesforce",32,924,0.456499960592417,0.0720442031205858,0.0252911243994035,0.0341366100580748
"monthly","2014-1-","salesforce",33,924,0.462710586221071,0.0716605341660708,0.0248906501303836,0.0339300185051778
"monthly","2014-1-","salesforce",34,924,0.468760751451425,0.0712575097269014,0.0245342222484229,0.0337202590737985
"monthly","2014-1-","salesforce",35,924,0.474708287479703,0.0708856313067723,0.024231541951825,0.0335734616290238
"monthly","2014-1-","salesforce",36,924,0.480494261447187,0.0704627625494838,0.023923325311621,0.0334186257278217
"monthly","2014-1-","salesforce",37,924,0.48615284632276,0.0700402819036477,0.023633851369846,0.0332437470825353
"monthly","2014-1-","salesforce",38,924,0.491665473547464,0.0696105067555358,0.0234236531204442,0.0330944201624625
"monthly","2014-1-","salesforce",39,924,0.497114242886919,0.0691806307205102,0.0230995911794707,0.0329450833064479
"monthly","2014-1-","salesforce",40,924,0.502396008136334,0.0686931832439026,0.0227825161499191,0.0327667069146554
"monthly","2014-1-","salesforce",41,924,0.507548734638349,0.0681584545986341,0.0223781744046841,0.032516468414992
"monthly","2014-1-","salesforce",42,924,0.512632199724696,0.0676631765905043,0.0220058370740114,0.032290597583964
"monthly","2014-1-","salesforce",43,924,0.517520932148097,0.0670938912940408,0.0216922278050284,0.0320343886754718
"monthly","2014-1-","salesforce",44,924,0.52229453956607,0.0664925494030577,0.0213336268868578,0.0317518136701699
"monthly","2014-1-","salesforce",45,924,0.52696450794372,0.0658736612920748,0.0209514441784502,0.0314555151183987
"monthly","2014-1-","salesforce",46,924,0.531518024621753,0.0652455156281726,0.0206035077706343,0.0311436224335217
"monthly","2014-1-","salesforce",47,924,0.535980367762619,0.0646312372560656,0.020292908759364,0.0308209184562769
"monthly","2014-1-","salesforce",48,924,0.540428128766328,0.0640486270663882,0.0198881000739408,0.0305265369516796
"monthly","2014-1-","salesforce",49,924,0.544725267502353,0.063443158368699,0.0195829909682952,0.0301892158707281
"monthly","2014-1-","salesforce",50,924,0.548917535936507,0.0628116190718111,0.0192548326737124,0.029820526554827
"monthly","2014-2-","salesforce",2,897,0.0762892979052445,0.0133708105010673,0.0175430386212475,0.0102671421159875
"monthly","2014-2-","salesforce",3,897,0.0992430699938818,0.0188340167422429,0.0213330937926112,0.0119437952702687
"monthly","2014-2-","salesforce",4,897,0.123087821066997,0.0243819095588347,0.024007597480685,0.0140606040407866
"monthly","2014-2-","salesforce",5,897,0.145114460563371,0.029058687830257,0.0253029025833185,0.0164021811253326
"monthly","2014-2-","salesforce",6,897,0.16508552963064,0.0321328486984554,0.0249733456105328,0.0175066036284981
"monthly","2014-2-","salesforce",7,897,0.18353296141603,0.0346599150442193,0.0239946751084253,0.0185735579258511
"monthly","2014-2-","salesforce",8,897,0.200491831447545,0.0369056051309571,0.0233555289874355,0.0195231997257962
"monthly","2014-2-","salesforce",9,897,0.216376203898892,0.0389216722647131,0.02274014775035,0.02047594737615
"monthly","2014-2-","salesforce",10,897,0.231292458143112,0.040629011236927,0.0220152764258683,0.0213113359089499
"monthly","2014-2-","salesforce",11,897,0.245281796682106,0.0421410349007246,0.0215274028351527,0.0220961250374985
"monthly","2014-2-","salesforce",12,897,0.258454212811669,0.0433954953835888,0.0210213677246672,0.0226681443036968
"monthly","2014-2-","salesforce",13,897,0.270761373320119,0.0444911134466604,0.0209891543432826,0.0231483210397129
"monthly","2014-2-","salesforce",14,897,0.282722527403958,0.045573217854225,0.020767553325312,0.0237717248094784
"monthly","2014-2-","salesforce",15,897,0.293989974055723,0.0463391585091347,0.0204146601995431,0.0240579545931056
"monthly","2014-2-","salesforce",16,897,0.304710592071139,0.0469081208228246,0.0199704489207711,0.0241615044423622
"monthly","2014-2-","salesforce",17,897,0.314828778640135,0.0473283696787044,0.0198493477417939,0.0241636101918207
"monthly","2014-2-","salesforce",18,897,0.324577235752877,0.0477420328597858,0.0199474885394168,0.0242570033704886
"monthly","2014-2-","salesforce",19,897,0.333972791054918,0.0480989049846951,0.0200636160789882,0.0243263410748302
"monthly","2014-2-","salesforce",20,897,0.343115964602288,0.0484274667526829,0.0200978979074056,0.0244599697200595
"monthly","2014-2-","salesforce",21,897,0.352054863257676,0.0487618552659953,0.0200827130650898,0.0246591371991225
"monthly","2014-2-","salesforce",22,897,0.360665044542808,0.048946487365215,0.0198920945687203,0.0247272395444868
"monthly","2014-2-","salesforce",23,897,0.368960783565053,0.0490520835829963,0.0197325848555361,0.0247451603494061
"monthly","2014-2-","salesforce",24,897,0.377049965280472,0.0491563804597773,0.0195777028889712,0.0247706421354501
"monthly","2014-2-","salesforce",25,897,0.384844108462925,0.0491966769471133,0.0194839099269483,0.0247008063149188
"monthly","2014-2-","salesforce",26,897,0.392432117437826,0.0491789838244239,0.0192944376924848,0.0245962135124892
"monthly","2014-2-","salesforce",27,897,0.39990327144106,0.0491823101723592,0.019050611011333,0.0245594524622922
"monthly","2014-2-","salesforce",28,897,0.407132357839956,0.0491004497389172,0.0187830169350735,0.0245072489838993
"monthly","2014-2-","salesforce",29,897,0.414251830612444,0.0490400510131195,0.0184613344433465,0.0244789060270682
"monthly","2014-2-","salesforce",30,897,0.421139333501659,0.0489103788828899,0.0181349606723176,0.0243829951002818
"monthly","2014-2-","salesforce",31,897,0.427766484135436,0.0487463683171725,0.0180040878590173,0.0242447611097513
"monthly","2014-2-","salesforce",32,897,0.434198382834615,0.0485424618144748,0.017926494440521,0.0240922337510497
"monthly","2014-2-","salesforce",33,897,0.440419122867139,0.0482914856784401,0.0179216822175561,0.0239526484845923
"monthly","2014-2-","salesforce",34,897,0.446556426242702,0.0480719285969523,0.0179084355860266,0.0238670186513233
"monthly","2014-2-","salesforce",35,897,0.452598694232463,0.0478275645768583,0.0177746922897575,0.0237790784608673
"monthly","2014-2-","salesforce",36,897,0.45846525245618,0.0475392440149743,0.0176434870911751,0.0236445008848685
"monthly","2014-2-","salesforce",37,897,0.464256964253688,0.0472663017928286,0.0174671796613277,0.023537640287864
"monthly","2014-2-","salesforce",38,897,0.469865831412107,0.0469289831499569,0.0172828923413127,0.0233823718370587
"monthly","2014-2-","salesforce",39,897,0.475396953582905,0.0466255648534916,0.0171225163933199,0.0232687348751981
"monthly","2014-2-","salesforce",40,897,0.480851001317438,0.0463359859086177,0.0169241111244688,0.0231577423544721
"monthly","2014-2-","salesforce",41,897,0.486126062170189,0.0459973758767775,0.0167804012754988,0.0230281946217839
"monthly","2014-2-","salesforce",42,897,0.491289267204795,0.0456391534270411,0.0166070525864373,0.0228670820392161
"monthly","2014-2-","salesforce",43,897,0.496329321114327,0.0452396446380353,0.0164053142919344,0.022715061750336
"monthly","2014-2-","salesforce",44,897,0.501302366629449,0.0448555951643362,0.0161712834092401,0.02256825988227
"monthly","2014-2-","salesforce",45,897,0.506144185001731,0.0444432035754156,0.0159507506130038,0.0223950146105923
"monthly","2014-2-","salesforce",46,897,0.510931505537773,0.0440556262671914,0.0157182928717427,0.0222609868792825
"monthly","2014-2-","salesforce",47,897,0.515536387668125,0.0436064043288241,0.0155343873613902,0.0220590392187346
"monthly","2014-2-","salesforce",48,897,0.520025677040307,0.0431304540346973,0.0153698078326448,0.0218707565747424
"monthly","2014-2-","salesforce",49,897,0.524468761138374,0.0427039373707017,0.0152449177671462,0.0217128328338816
"monthly","2014-2-","salesforce",50,897,0.528837212640992,0.0422622544463554,0.0150745666010403,0.0215749855644487
"monthly","2014-3-","salesforce",2,849,0.0745278133761292,0.0116399809506533,0.0133472424422102,0.00950878695149657
"monthly","2014-3-","salesforce",3,849,0.0989126201303822,0.0171687209947234,0.016178702007592,0.0105006968269948
"monthly","2014-3-","salesforce",4,849,0.122175993254181,0.0225374631727068,0.0187256228026142,0.0116970659351515
"monthly","2014-3-","salesforce",5,849,0.14418649882901,0.0271298017256107,0.0199007442066309,0.0129757466632141
"monthly","2014-3-","salesforce",6,849,0.165194107662085,0.0312572726949057,0.0197050924059571,0.0145009992333998
"monthly","2014-3-","salesforce",7,849,0.184105108882428,0.0348360750961569,0.0200693321693661,0.0160927687100712
