"","b","X","N"
"b355",-0.69690473430728,14,886
"b356",-0.692968912931711,15,886
"b357",-0.689373047046457,16,886
"b358",-0.686093764484158,17,886
"b359",-0.682849259836098,18,886
"b360",-0.679748428474311,19,886
"b361",-0.676614050150595,20,886
"b362",-0.673547065514028,21,886
"b363",-0.670474881678005,22,886
"b364",-0.66748033506236,23,886
"b365",-0.664499463601143,24,886
"b366",-0.661554995363051,25,886
"b367",-0.6588153272882,26,886
"b368",-0.656129262558552,27,886
"b369",-0.653655582715538,28,886
"b370",-0.651164990015711,29,886
"b371",-0.648714963415059,30,886
"b372",-0.646235439474625,31,886
"b373",-0.643907943196767,32,886
"b374",-0.641599785492941,33,886
"b375",-0.639340723679087,34,886
"b376",-0.637114464065155,35,886
"b377",-0.634819920620007,36,886
"b378",-0.632599023657313,37,886
"b379",-0.630306815550685,38,886
"b380",-0.627957123915903,39,886
"b381",-0.625618958939428,40,886
"b382",-0.623196820805773,41,886
"b383",-0.620770184386773,42,886
"b384",-0.618291577031233,43,886
"b385",-0.615786202219025,44,886
"b386",-0.613244056747169,45,886
"b387",-0.610802870950316,46,886
"b388",-0.608478702841056,47,886
"b389",-0.606121824194979,48,886
"b390",-0.603808799910372,49,886
"b391",-0.601470535264146,50,886
"b392",-0.738575399521186,2,985
"b393",-0.729214380077197,3,985
"b394",-0.722081426692987,4,985
"b395",-0.716100727721175,5,985
"b396",-0.710650745580749,6,985
"b397",-0.705407870738546,7,985
"b398",-0.700333161797683,8,985
"b399",-0.695672275562806,9,985
"b400",-0.691342615617731,10,985
"b401",-0.687034772590442,11,985
"b402",-0.682885475032298,12,985
"b403",-0.678975146479998,13,985
"b404",-0.675109715992737,14,985
"b405",-0.671578584301728,15,985
"b406",-0.668273978429607,16,985
"b407",-0.6650340187766,17,985
"b408",-0.661859226315116,18,985
"b409",-0.65879963412272,19,985
"b410",-0.655798201729856,20,985
"b411",-0.652728223907176,21,985
"b412",-0.64968489785702,22,985
"b413",-0.646723893218275,23,985
"b414",-0.643826526367074,24,985
"b415",-0.641128901460897,25,985
"b416",-0.638472817042448,26,985
"b417",-0.635851717466276,27,985
"b418",-0.633163771841365,28,985
"b419",-0.630550141900909,29,985
"b420",-0.627935714192148,30,985
"b421",-0.625299948791388,31,985
"b422",-0.622781573356174,32,985
"b423",-0.620372918178043,33,985
"b424",-0.617946426001171,34,985
"b425",-0.615590718313531,35,985
"b426",-0.61319611159394,36,985
"b427",-0.61083466564054,37,985
"b428",-0.608485872520262,38,985
"b429",-0.605970130018122,39,985
"b430",-0.603523506050664,40,985
"b431",-0.601253149548016,41,985
"b432",-0.599085063212109,42,985
"b433",-0.596910526602665,43,985
"b434",-0.594748068422016,44,985
"b435",-0.592578454145035,45,985
"b436",-0.590468584298412,46,985
"b437",-0.588270502462097,47,985
"b438",-0.586042579318349,48,985
"b439",-0.58369147916214,49,985
"b440",-0.581384794948436,50,985
"b441",-0.762767958983897,2,1073
"b442",-0.74329335520138,3,1073
"b443",-0.730832564596483,4,1073
"b444",-0.722335673866468,5,1073
"b445",-0.715840386180789,6,1073
"b446",-0.710835384281136,7,1073
"b447",-0.706118754434802,8,1073
"b448",-0.701924223121553,9,1073
"b449",-0.697893418599154,10,1073
"b450",-0.693659091888235,11,1073
"b451",-0.689606450873419,12,1073
"b452",-0.685899244872782,13,1073
"b453",-0.682291998796375,14,1073
"b454",-0.678807112118028,15,1073
"b455",-0.675329766046484,16,1073
"b456",-0.672038817648438,17,1073
"b457",-0.668752774572845,18,1073
"b458",-0.665365751490255,19,1073
"b459",-0.662050072631617,20,1073
"b460",-0.658867567273334,21,1073
"b461",-0.655651314522733,22,1073
"b462",-0.652504071852429,23,1073
"b463",-0.649434133082579,24,1073
"b464",-0.646338779798542,25,1073
"b465",-0.643311138488272,26,1073
"b466",-0.640313965288028,27,1073
"b467",-0.637455474162582,28,1073
"b468",-0.634706650070053,29,1073
"b469",-0.632025681507459,30,1073
"b470",-0.629405742173344,31,1073
"b471",-0.626848373709457,32,1073
"b472",-0.624338538481031,33,1073
"b473",-0.621941966183697,34,1073
"b474",-0.619453867828995,35,1073
"b475",-0.616960117422691,36,1073
"b476",-0.614536030502578,37,1073
"b477",-0.612112898497531,38,1073
"b478",-0.609595502511629,39,1073
"b479",-0.60717656793696,40,1073
"b480",-0.604747710874689,41,1073
"b481",-0.602290992140864,42,1073
"b482",-0.599898092091014,43,1073
"b483",-0.597541059542464,44,1073
"b484",-0.595203222480471,45,1073
"b485",-0.592898971282891,46,1073
"b486",-0.590586465157219,47,1073
"b487",-0.588288976466046,48,1073
"b488",-0.585948954151741,49,1073
"b489",-0.583576569440362,50,1073
"b490",-0.767614081144626,2,976
"b491",-0.755038178364583,3,976
"b492",-0.74652456997221,4,976
"b493",-0.738574503738551,5,976
"b494",-0.730875138054583,6,976
"b495",-0.723652274861639,7,976
"b496",-0.717176361877023,8,976
"b497",-0.71142740673644,9,976
"b498",-0.705988280958196,10,976
"b499",-0.700850730594135,11,976
"b500",-0.696454340209768,12,976
"b501",-0.692090014150414,13,976
"b502",-0.687829097143188,14,976
"b503",-0.683593963721182,15,976
"b504",-0.679437964094825,16,976
"b505",-0.67556831434976,17,976
"b506",-0.671819596173551,18,976
"b507",-0.668200607286054,19,976
"b508",-0.664639123817124,20,976
"b509",-0.661178409239197,21,976
"b510",-0.657936620347182,22,976
"b511",-0.654700306381005,23,976
"b512",-0.65150768019563,24,976
"b513",-0.648394110311003,25,976
"b514",-0.645441662635724,26,976
"b515",-0.642595597467192,27,976
"b516",-0.639808941621109,28,976
"b517",-0.636923650270371,29,976
"b518",-0.63406256033034,30,976
"b519",-0.631366392818783,31,976
"b520",-0.628749271735315,32,976
"b521",-0.626106207418436,33,976
"b522",-0.623497163961843,34,976
"b523",-0.620923330669842,35,976
"b524",-0.618419857233173,36,976
"b525",-0.61604462540124,37,976
"b526",-0.613656085485203,38,976
"b527",-0.611304682456878,39,976
"b528",-0.608978367893086,40,976
"b529",-0.606621718040465,41,976
"b530",-0.604135732353571,42,976
"b531",-0.601704656276447,43,976
"b532",-0.599280265336215,44,976
"b533",-0.59678608821388,45,976
"b534",-0.594323315715881,46,976
"b535",-0.591807823391695,47,976
"b536",-0.589325005492007,48,976
"b537",-0.587039550789141,49,976
"b538",-0.584816239743485,50,976
"b539",-0.762649645397238,2,1073
"b540",-0.752308293469924,3,1073
"b541",-0.745067305752473,4,1073
"b542",-0.738391391428034,5,1073
"b543",-0.732514490234752,6,1073
"b544",-0.727649811567682,7,1073
"b545",-0.723257418009846,8,1073
"b546",-0.718689511327749,9,1073
"b547",-0.714698165369472,10,1073
"b548",-0.710720187940628,11,1073
"b549",-0.706881518233667,12,1073
"b550",-0.703029104177568,13,1073
"b551",-0.699476926198657,14,1073
"b552",-0.696166287940482,15,1073
"b553",-0.692898471965152,16,1073
"b554",-0.689764777936471,17,1073
"b555",-0.686647256868087,18,1073
"b556",-0.68370302675946,19,1073
"b557",-0.68089551502213,20,1073
"b558",-0.678254804521292,21,1073
"b559",-0.675721378626597,22,1073
"b560",-0.67316566385521,23,1073
"b561",-0.670705779343629,24,1073
"b562",-0.668274565848408,25,1073
"b563",-0.665852316472702,26,1073
"b564",-0.663387266933513,27,1073
"b565",-0.661001156897099,28,1073
"b566",-0.658685228926486,29,1073
"b567",-0.656536652865358,30,1073
"b568",-0.654388491051144,31,1073
"b569",-0.652131538919707,32,1073
"b570",-0.649939625515533,33,1073
"b571",-0.647725018372659,34,1073
"b572",-0.645535584751263,35,1073
"b573",-0.643345052477899,36,1073
"b574",-0.641208190659628,37,1073
"b575",-0.639128477380704,38,1073
"b576",-0.636987759413113,39,1073
"b577",-0.634854743396948,40,1073
"b578",-0.632697840382382,41,1073
"b579",-0.630465147136647,42,1073
"b580",-0.628190564059051,43,1073
"b581",-0.625975353437531,44,1073
"b582",-0.623822624296865,45,1073
"b583",-0.621656002174775,46,1073
"b584",-0.619517514700097,47,1073
"b585",-0.617327158293798,48,1073
"b586",-0.61525131077826,49,1073
"b587",-0.613133065577623,50,1073
"b588",-0.718505226991286,2,1543
"b589",-0.704337695522182,3,1543
"b590",-0.694907416663514,4,1543
"b591",-0.686829806695807,5,1543
"b592",-0.679939528014131,6,1543
"b593",-0.673984445510346,7,1543
"b594",-0.668382155452295,8,1543
"b595",-0.663412930476976,9,1543
"b596",-0.658795968022564,10,1543
"b597",-0.654494145473137,11,1543
"b598",-0.650263057411582,12,1543
"b599",-0.646524605088277,13,1543
"b600",-0.642949793841399,14,1543
"b601",-0.639658138136007,15,1543
"b602",-0.63634086787345,16,1543
"b603",-0.633273352795991,17,1543
"b604",-0.630384390827787,18,1543
"b605",-0.627658633498522,19,1543
"b606",-0.625004038917603,20,1543
"b607",-0.62249715871112,21,1543
"b608",-0.620068891012681,22,1543
"b609",-0.617631930917725,23,1543
"b610",-0.615218664036813,24,1543
"b611",-0.612883371981339,25,1543
"b612",-0.610579628478006,26,1543
"b613",-0.60832933328755,27,1543
"b614",-0.60617031716167,28,1543
"b615",-0.603986248549053,29,1543
"b616",-0.601797641658159,30,1543
"b617",-0.599614180985047,31,1543
"b618",-0.597355266021804,32,1543
"b619",-0.595081905225704,33,1543
"b620",-0.59283124438961,34,1543
"b621",-0.590610531302955,35,1543
"b622",-0.588359011464728,36,1543
"b623",-0.586105651094835,37,1543
"b624",-0.583960390308194,38,1543
"b625",-0.581792805795425,39,1543
"b626",-0.579635661083897,40,1543
"b627",-0.577519958372233,41,1543
"b628",-0.575409043267671,42,1543
"b629",-0.573266816771885,43,1543
"b630",-0.571065850664376,44,1543
"b631",-0.568773453910646,45,1543
"b632",-0.566472494264949,46,1543
"b633",-0.564231856031432,47,1543
"b634",-0.562016772639558,48,1543
"b635",-0.559761111554164,49,1543
"b636",-0.55743727934177,50,1543
"b637",-0.755020611226723,2,1404
"b638",-0.741797168909583,3,1404
"b639",-0.731137901191957,4,1404
"b640",-0.723070602625739,5,1404
"b641",-0.716419987336642,6,1404
"b642",-0.711275121016757,7,1404
"b643",-0.706661001435615,8,1404
"b644",-0.702364326847011,9,1404
"b645",-0.6983994571409,10,1404
"b646",-0.694671198073352,11,1404
"b647",-0.691120167063416,12,1404
"b648",-0.68775145640845,13,1404
"b649",-0.68452782113648,14,1404
"b650",-0.681216593959801,15,1404
"b651",-0.678025246069577,16,1404
"b652",-0.67494410244924,17,1404
"b653",-0.671885623733443,18,1404
"b654",-0.668817881332256,19,1404
"b655",-0.665712320330175,20,1404
"b656",-0.662784129923322,21,1404
"b657",-0.659913674093149,22,1404
"b658",-0.657112455269022,23,1404
"b659",-0.65435786801289,24,1404
"b660",-0.651662315344161,25,1404
"b661",-0.649012828794309,26,1404
"b662",-0.646379572154779,27,1404
"b663",-0.643706236852532,28,1404
"b664",-0.641008009223507,29,1404
"b665",-0.638431358462025,30,1404
"b666",-0.635851380532964,31,1404
"b667",-0.633286237204255,32,1404
"b668",-0.630712124173291,33,1404
"b669",-0.628072245175752,34,1404
"b670",-0.625565393852714,35,1404
"b671",-0.623112337664554,36,1404
"b672",-0.620670570004329,37,1404
"b673",-0.618266683089555,38,1404
"b674",-0.615860424576073,39,1404
"b675",-0.613424582845492,40,1404
"b676",-0.610992038774008,41,1404
"b677",-0.608502509761627,42,1404
"b678",-0.606057719340452,43,1404
"b679",-0.603619914930361,44,1404
"b680",-0.601193631187908,45,1404
"b681",-0.598830584044766,46,1404
"b682",-0.596502645021686,47,1404
"b683",-0.594142224413165,48,1404
"b684",-0.59178396671017,49,1404
"b685",-0.589462745595498,50,1404
"b686",-0.753682583819616,2,1242
"b687",-0.739188556849716,3,1242
"b688",-0.728213827289674,4,1242
"b689",-0.720122778420835,5,1242
"b690",-0.713140536937696,6,1242
"b691",-0.706444029270529,7,1242
"b692",-0.700405805829022,8,1242
"b693",-0.694909147443267,9,1242
"b694",-0.690030625689402,10,1242
"b695",-0.685479914371249,11,1242
"b696",-0.681245830332261,12,1242
"b697",-0.676975475230543,13,1242
"b698",-0.673067282023402,14,1242
"b699",-0.66930504496331,15,1242
"b700",-0.665649394718303,16,1242
"b701",-0.66213433810693,17,1242
"b702",-0.658828968679737,18,1242
"b703",-0.655545314301602,19,1242
"b704",-0.65231828936925,20,1242
"b705",-0.649118477165521,21,1242
"b706",-0.646013719671335,22,1242
"b707",-0.64289249066383,23,1242
"b708",-0.639849762141268,24,1242
"b709",-0.636891042452419,25,1242
"b710",-0.634024514674371,26,1242
"b711",-0.631289482836045,27,1242
"b712",-0.628568954166839,28,1242
"b713",-0.625955442499687,29,1242
"b714",-0.623369917091377,30,1242
"b715",-0.620761024279782,31,1242
"b716",-0.618145353274119,32,1242
"b717",-0.615644971428769,33,1242
"b718",-0.61319054194625,34,1242
"b719",-0.610738033077355,35,1242
"b720",-0.608243190707986,36,1242
"b721",-0.605747763271546,37,1242
"b722",-0.603278594405407,38,1242
"b723",-0.600906129193276,39,1242
"b724",-0.59854901048879,40,1242
"b725",-0.596139115069366,41,1242
"b726",-0.593830531796319,42,1242
"b727",-0.591650306267428,43,1242
"b728",-0.589508817628575,44,1242
"b729",-0.587316276060184,45,1242
"b730",-0.585056400642841,46,1242
"b731",-0.582759314658786,47,1242
"b732",-0.580460667512337,48,1242
"b733",-0.578149282230205,49,1242
"b734",-0.575900066466519,50,1242
"b735",-0.76239240222328,2,1100
"b736",-0.746344729588495,3,1100
"b737",-0.734321954954932,4,1100
"b738",-0.725516212306419,5,1100
"b739",-0.718410733102916,6,1100
"b740",-0.711915605110975,7,1100
"b741",-0.70661311566711,8,1100
"b742",-0.70165244933636,9,1100
"b743",-0.696816910264701,10,1100
"b744",-0.692414207818446,11,1100
"b745",-0.688275706218714,12,1100
"b746",-0.684423428240391,13,1100
"b747",-0.680837656857298,14,1100
"b748",-0.677428548667388,15,1100
"b749",-0.674122203590641,16,1100
"b750",-0.670950329791603,17,1100
"b751",-0.667931532394167,18,1100
"b752",-0.665155543094681,19,1100
"b753",-0.662582572495939,20,1100
"b754",-0.659963329867999,21,1100
"b755",-0.657370003741168,22,1100
"b756",-0.655096540646359,23,1100
"b757",-0.652779707039935,24,1100
"b758",-0.650623484134421,25,1100
"b759",-0.648450871174666,26,1100
"b760",-0.646433033052075,27,1100
"b761",-0.644484844056501,28,1100
"b762",-0.642519351816358,29,1100
"b763",-0.640495940477114,30,1100
"b764",-0.638409373945467,31,1100
"b765",-0.636281765497933,32,1100
"b766",-0.634179198928198,33,1100
"b767",-0.632064852214322,34,1100
"b768",-0.630003861792623,35,1100
"b769",-0.6279693420577,36,1100
"b770",-0.626031048893423,37,1100
"b771",-0.624087666231769,38,1100
"b772",-0.622146878792304,39,1100
"b773",-0.620200580351554,40,1100
"b774",-0.618153455683658,41,1100
"b775",-0.616059718037042,42,1100
"b776",-0.61396895465328,43,1100
"b777",-0.61191920154117,44,1100
"b778",-0.60986337163845,45,1100
"b779",-0.607848457129849,46,1100
"b780",-0.605828047692255,47,1100
"b781",-0.603762249559034,48,1100
"b782",-0.601657446608382,49,1100
"b783",-0.599663162532941,50,1100
"b784",-0.748678989738435,2,1242
"b785",-0.735320635916057,3,1242
"b786",-0.723345926724645,4,1242
"b787",-0.716189697913496,5,1242
"b788",-0.70896278065518,6,1242
"b789",-0.703211623296606,7,1242
"b790",-0.698149452939664,8,1242
"b791",-0.693612654836976,9,1242
